grupo,ids,n,baseline_sham,L_sham,R_sham,U_sham,impar_L_R,comun_LR_sham,R_uniform,L_uniform,residuo_cuatro,primer_impar_negativo_3muestras_ms,R_sham_entrada_L,R_sham_entrada_R
LAL199|L,524755,1,9.147935406046663,-0.07053413499914674,-0.0023782909934881094,-0.1135427385321518,-0.03407792200282931,-0.03645621299631742,0.1111644475386637,0.04300860353300508,-0.04063031253951697,22,-0.002378290993488029,0.0
DNb02|L,12767;529488,2,0.31489687502929103,0.033609821172938294,0.10072134723809052,0.10902434961902464,-0.033555763032576104,0.06716558420551441,-0.00830300238093411,-0.07541452844608632,-0.02530681879200419,168,-0.06163252841588802,-0.16235387565397852
CL117|R,24347;537751,2,35.635284250018124,0.17258855563295433,0.2385193467853508,0.268144517584097,-0.032965395576198236,0.20555395120915204,-0.029625170798746242,-0.09555596195114271,-0.1429633848342081,165,0.0,-0.23851934678535047
LAL104|L,28010,1,-6.215119559357577,0.0715376868750404,0.13616038204202227,0.140723092410516,-0.032311347583490926,0.10384903445853129,-0.004562710368493744,-0.0691854055354756,-0.06697497650654666,80,0.1361603820420223,0.0
PS308|L,521538,1,-3.735047175065333,-0.37538049338346297,-0.3113584640395298,-0.37208377268737913,-0.03201101467196659,-0.3433694787114964,0.06072530864784933,-0.003296720696083846,0.31465518473561366,16,-0.31135846403952977,0.0
IN16B100_c|R,909039,1,1.395517014573863,0.04355887020176518,0.10235164630612309,0.10899610058572877,-0.02939638805217897,0.07295525825394412,-0.006644454279605663,-0.06543723038396358,-0.036914415922159514,106,0.0,-0.1023516463061231
LAL015|L,11054,1,73.3944748624905,-0.029770174055326042,0.02845159940716794,0.014848531209840433,-0.02911088673124699,-0.0006592873240787682,0.013603068197327506,-0.044618705265166474,0.016167105857998534,16,0.028451599407168356,0.0
AN02A002|L,10671,1,0.8333693669267073,0.027322455068464164,0.08330624533642295,0.08629129856767746,-0.02799189513397939,0.05531435020244356,-0.0029850532312545343,-0.058968843499213316,-0.024337401837209623,236,0.0,-0.08330624533642296
PS186|R,513160,1,21.962136691656436,-0.24551534241152648,-0.18966164527013246,-0.40118758577763936,-0.027926848570697018,-0.21758849384082918,0.2115259405075069,0.15567224336611288,0.03398940190401958,24,0.0,0.18966164527013243
VES022|L,10820;15059;15955;19585,4,-4.737202082908491,0.08808472573265766,0.14334273208929352,0.17144533480075844,-0.027629003178317936,0.11571372891097564,-0.028102602711464888,-0.08336060906810076,-0.05998212302119277,16,0.1433427320881144,-1.1792011117686739e-12
CRE039|L,518777,1,10.165368413486002,0.18625113116399614,0.23948601648062046,0.19248669380404085,-0.02661744265831214,0.21286857382230823,0.0469993226765796,-0.006235562640044678,-0.23325045384057574,165,0.0,-0.23948601648062046
GNG512|R,13215,1,4.9889084387035725,-0.023806681825159354,0.027154174649526595,-0.009925213995409644,-0.025480428237342975,0.0016737464121836388,0.03707938864493624,-0.01388146782974971,-0.013272706819776891,119,0.027154174649526512,0.0
LAL131|L,15083,1,-0.477338090260218,-0.13400924567943834,-0.0836859480234521,-0.1984007672306096,-0.02516164882799312,-0.10884759685144522,0.11471481920715751,0.06439152155117127,0.019294426472280832,67,-0.0836859480234521,0.0
